Index,All Links,Lon-Link,Lat-Link,Both Links,Measurement of What,,Date,Lon-Deg,Lon-Min,Lon-Sec,Lon-E/W,Lat-Deg,Lat-Min,Lat-Sec,Lat-N/S,,longitude,latitude,title,,
1,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/7,,,,Ship,,September 20,,,,,,,,,,,,09/20/63 Ship,,0
2,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/7,,,,Ship,,September 21,,,,,,,,,,,,09/21/63 Ship,,
3,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/7,,Ship,,September 22,,,,,50,41,28,,,,50.69111111,09/22/63 Ship,,
4,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,,,Ship,,September 23,,,,,,,,,,,,09/23/63 Ship,,
5,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,,,Ship,,September 24,,,,,,,,,,,,09/24/63 Ship,,
6,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,,,Ship,,September 25,,,,,,,,,,,,09/25/63 Ship,,
7,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,,,Ship,,September 26,,,,,,,,,,,,09/26/63 Ship,,
8,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,,,Ship,,September 27,,,,,,,,,,,,09/27/63 Ship,,
9,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,Ship,,September 28,,,,,45,2,,N,,,45.03333333,09/28/63 Ship,,
10,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,,,Ship,,September 29,,,,,,,,,,,,09/29/63 Ship,,
11,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,Ship,,September 30,,,,,41,21,,N,,,41.35,09/30/63 Ship,,
12,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/8,,,,Ship,,October 1,,,,,41,3,,N,,,41.05,10/01/63 Ship,,
13,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,1,52,,W,50,33,,N,,-1.866666667,50.55,09/23/63 Ship,,
14,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,1,52,,W,50,33,,N,,-1.866666667,50.55,09/23/63 Ship,,
15,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,2,14,,W,50,27,,N,,-2.233333333,50.45,09/23/63 Ship,,
16,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,2,22,,W,50,26,,N,,-2.366666667,50.43333333,09/23/63 Ship,,
17,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,2,28,,W,50,25,,N,,-2.466666667,50.41666667,09/23/63 Ship,,
18,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,2,45,,W,50,24,,N,,-2.75,50.4,09/23/63 Ship,,
19,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,2,54,,W,50,23,,N,,-2.9,50.38333333,09/23/63 Ship,,
20,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,2,56,,W,50,23,,N,,-2.933333333,50.38333333,09/23/63 Ship,,
21,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,3,1,,W,50,22,,N,,-3.016666667,50.36666667,09/23/63 Ship,,
22,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,3,2,,W,50,22,,N,,-3.033333333,50.36666667,09/23/63 Ship,,
23,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,Ship,,September 23,3,3,,W,50,22,,N,,-3.05,50.36666667,09/23/63 Ship,,
24,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,Ship,,UNSURE,11,51,,W,,,,,,-11.85,,UNSURE Ship,,
25,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,Ship,,noon,11,39,,W,,,,,,-11.65,,noon Ship,,
26,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,Ship,,UNSURE,11,29,,W,,,,,,-11.48333333,,UNSURE Ship,,
27,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/9,,,Ship,,noon,11,43,,W,,,,,,-11.71666667,,noon Ship,,
